,node_artist,edge_artist,followers,genres,popularity,_type,edge_uri
325,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,Slick Rick,599082,alternative hip hop; bronx hip hop; east coast hip hop; gangster rap; golden age hip hop; hardcore hip hop; hip hop; old school hip hop; rap,56,artist,spotify:artist:1W9qOBYRTfP7HcizWN43G1
326,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,Brand Nubian,198934,alternative hip hop; conscious hip hop; east coast hip hop; gangster rap; golden age hip hop; hardcore hip hop; hip hop; rap; turntablism,46,artist,spotify:artist:3YyZFf9ZN2YbkqeZia8zHX
327,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,Digital Underground,455255,conscious hip hop; funk; gangster rap; hardcore hip hop; hip hop; hip house; rap; west coast rap,55,artist,spotify:artist:7jocoSCuCtpCxCI6IbP8ye
328,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,Erick Sermon,191857,gangster rap; hardcore hip hop; hip hop; hip pop; rap; turntablism,51,artist,spotify:artist:2VX0o9LDIVmKIgpnwdJpOJ
329,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,EPMD,348173,alternative hip hop; east coast hip hop; gangster rap; golden age hip hop; hardcore hip hop; hip hop; hip house; old school hip hop; rap,53,artist,spotify:artist:3zpKjsMg2gw1St5WcWoUJN
330,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,Lost Boyz,251428,east coast hip hop; gangster rap; hardcore hip hop; hip hop; hip pop; queens hip hop,46,artist,spotify:artist:0OtigLoCgLYvXnMxbE5qH5
331,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,Lords Of The Underground,203765,alternative hip hop; conscious hip hop; east coast hip hop; gangster rap; hardcore hip hop; hip hop; new jersey rap; turntablism,45,artist,spotify:artist:17Q9sCBpIyS6yM2YyaI6R4
332,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,Jeru The Damaja,197321,alternative hip hop; east coast hip hop; gangster rap; hardcore hip hop; hip hop; rap; turntablism,51,artist,spotify:artist:6CsOL9C9iLL0eWKINlDxzQ
333,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,FU-Schnickens,103945,bboy; east coast hip hop; gangster rap; hardcore hip hop; hip hop,34,artist,spotify:artist:2BnZSEAPhFsB1RIyeEgXmN
334,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,Keith Murray,186142,alternative hip hop; gangster rap; hardcore hip hop; hip hop; hip pop,47,artist,spotify:artist:2bwR166mSJEJrYJqfyust3
335,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,Rakim,744191,east coast hip hop; gangster rap; hardcore hip hop; hip hop; rap,58,artist,spotify:artist:3PyWEKLWI0vHPmoNrIX0QE
336,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,Black Sheep,193342,alternative hip hop; east coast hip hop; gangster rap; hardcore hip hop; hip hop; queens hip hop; rap; turntablism,45,artist,spotify:artist:0NnCgUxhtWt1yBtpDyvFQf
337,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,Onyx,429816,east coast hip hop; gangster rap; hardcore hip hop; hip hop; queens hip hop; rap,52,artist,spotify:artist:10Khz9BDdDT2mzm3330Cvu
338,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,MC Lyte,342031,alternative r&b; east coast hip hop; electro; gangster rap; hardcore hip hop; hip hop; hip house; hip pop; old school hip hop; rap,48,artist,spotify:artist:2ZbWlThDW0qSbI3hinpl0w
339,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,ICE-T,1103705,conscious hip hop; gangster rap; golden age hip hop; hardcore hip hop; hip hop; new jersey rap; old school hip hop; rap; west coast rap,51,artist,spotify:artist:0eGh2jSWPBX5GuqIHoZJZG
340,spotify:artist:2CLVPk9FcywjClBcTvWPkT,Billy Squier,673872,album rock; classic rock; glam metal; hard rock; heartland rock; mellow gold; rock; soft rock,60,artist,spotify:artist:3Fz2GbraVXhcpXnoi2Oe1r
341,spotify:artist:2CLVPk9FcywjClBcTvWPkT,38 Special,1024287,album rock; classic rock; country rock; glam metal; hard rock; mellow gold; pop rock; rock; soft rock; southern rock,59,artist,spotify:artist:3zXw2Eh96iTT51pytzHdZi
342,spotify:artist:2CLVPk9FcywjClBcTvWPkT,Rick Springfield,694190,album rock; australian rock; classic rock; heartland rock; mellow gold; new wave pop; pop rock; rock; soft rock; yacht rock,60,artist,spotify:artist:6IFXsrXBpwbIqtOUOiAa3p
343,spotify:artist:2CLVPk9FcywjClBcTvWPkT,Eddie Money,739783,album rock; classic rock; country rock; folk rock; hard rock; mellow gold; pop rock; rock; singer-songwriter; soft rock,60,artist,spotify:artist:4Tw2N3wdvJPGEU7JqMxFfE
344,spotify:artist:2CLVPk9FcywjClBcTvWPkT,Night Ranger,606380,album rock; classic rock; glam metal; hard rock; heartland rock; mellow gold; rock; soft rock,53,artist,spotify:artist:1Ha0Fz4i0d4gu5fZbhBCtH
345,spotify:artist:2CLVPk9FcywjClBcTvWPkT,Honeymoon Suite,101926,album rock; canadian metal; classic canadian rock; classic rock; glam metal; hard rock; mellow gold; rock,43,artist,spotify:artist:7kFyhQTV7cbd3iSYW2yt1Q
346,spotify:artist:2CLVPk9FcywjClBcTvWPkT,Steve Perry,521044,album rock; mellow gold; soft rock; yacht rock,60,artist,spotify:artist:5xQKoGD7Ql92fWd1uWwKkf
