,Artist ,Certified Units ,,,,
(In Millions),Gold ®,Platinum ®,Multi-Platinum ™,Diamond ®,Type ,
BLACKFOOT,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BLAQUE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BLIND FAITH,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BLUE OCTOBER,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BOB JAMES & DAVID SANBORN,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BOB NEWHART,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BOBBY MC FERRIN,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BOBBY VINTON,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BOOTS RANDOLPH,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BOOTSY'S RUBBER BAND,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BRETT ELDREDGE,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BRETT YOUNG,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BRONCO,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BROWNSTONE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BUDDY HOLLY & THE CRICKETS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BUENA VISTA SOCIAL CLUB,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BUFFALO SPRINGFIELD,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CALIFORNIA RAISINS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CAPITAL CITIES,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CARL DOY,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CARLOS SANTANA & BUDDY MILES,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CASE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHAMILLIONAIRE,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHANGING FACES,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHARLIE ZAA,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHRIS BOTTI,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHRIS CAGLE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CLANNAD,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CLEAN BANDIT,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CLUB NOUVEAU,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
COHEED & CAMBRIA,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
COLD,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CORINNE BAILEY RAE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
COVERDALE PAGE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
COWBOY JUNKIES,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CRAIG MORGAN,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CRAZY TOWN,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CREEDENCE CLEARWATER REVISITED,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CROSSFADE,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CROWDED HOUSE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAN FOGELBERG & TIM WEISBERG,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DANIEL CAESAR,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DARLENE ZSCHECH,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAS EFX,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAVE CLARK FIVE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAVE HOLLISTER,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAVE KOZ,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAVID BALL,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAVID COOK,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAVID GILMOUR,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAVID LEE MURPHY,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAYS OF THE NEW,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DEBBY BOONE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DEFAULT,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DENIECE WILLIAMS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DEREK & THE DOMINOS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DES'REE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DIANA ROSS & THE SUPREMES WITH THE TEMPTATIONS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DJ MAGIC MIKE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DJ MAGIC MIKE & ROYAL POSSE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DO OR DIE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DON OMAR,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DONNA LEWIS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DREAMVILLE,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DROWNING POOL,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EAGLE EYE CHERRY,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ED AMES,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EDGAR WINTER,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ELLE KING,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ELMO AND PATSY,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EMF,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ERIC JOHNSON,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EUGENE ORMANDY,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EVA CASSIDY,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
"EVELYN ""CHAMPAGNE"" KING",1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EXILE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FASTBALL,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FATBOY SLIM,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FINGER ELEVEN,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FIVE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FLYLEAF,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FOCUS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FRANCES LAI,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FRANCESCA BATTISTELLI,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FRANKIE J,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FUTURE AND JUICE WRLD,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
G.Q.,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GABBY BARRETT,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GANG STARR,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GENE SIMMONS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GEORGIA SATELLITES,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GINO VANNELLI,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GIVEON,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GLENN FREY,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GLORIA GAYNOR,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GNARLS BARKLEY,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GRUPO MONTEZ DE DURANGO,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GUNNA,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HALL & OATES,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HAWTHORNE HEIGHTS,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HEATHER HEADLEY,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HI-FIVE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HIROSHIMA,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HOT BOYS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HOWARD JONES,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HUMBLE PIE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
IGGY AZALEA,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
IMMATURE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
INNER CIRCLE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
INTERPOL,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ISRAEL & NEW BREED,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JACK HARLOW,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JACK JOHNSON & FRIENDS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JACKIE GLEASON,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JADAKISS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JAMES BAY,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JAMES INGRAM,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JAMIROQUAI,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JANIS IAN,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JEFF BUCKLEY,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JENNIFER HUDSON,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JERMAINE DUPRI,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JERMAINE JACKSON,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JERRY SEINFELD,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JESSE MC CARTNEY,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JESSIE J,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JESUS JONES,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JET,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOE JACKSON,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHN DENVER & THE MUPPETS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHN TESH,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHNNIE TAYLOR,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHNNY 'GUITAR' WATSON,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHNNY HORTON,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JORDIN SPARKS,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOSHUA KADISON,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JUANITA BYNUM,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KEHLANI,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KENNY ROGERS & THE FIRST EDITION,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KID 'N PLAY,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KIM CARNES,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KIP MOORE,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KIX,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KRAYZIE BONE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KROKUS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KT TUNSTALL,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KYGO,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KYLE,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
L. ELGART / MANHATTAN SWING ORC,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
L.A. GUNS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LA BOUCHE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LAMB OF GOD,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LAUV,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LAWRENCE WELK,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LEIF GARRETT,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LEO SAYER,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LEONA LEWIS,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LETOYA,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LFO,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIL BABY & GUNNA,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
"LIL BABY, LIL DURK",1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIL NAS X,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIL PUMP,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIL TECCA,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIL' TROY,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
"LIN-MANUEL MIRANDA, GERMAINE FRANCO, ENCANTO - CAST",1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LINDSEY STIRLING,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LISA LISA & CULT JAM,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LISA LISA & CULT JAM WITH FULL FORCE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LISA LOEB,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIT,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LITA FORD,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIZA MINNELLI,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIZZO,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LLOYD BANKS,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LOST BOYZ,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LOU REED,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LUKAS GRAHAM,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LUNIZ,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LYFE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MAHAVISHNU ORCHESTRA,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARC COHN,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARCY PLAYGROUND,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARK RONSON,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARKY MARK & THE FUNKY BUNCH,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MATISYAHU,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MATTHEW SWEET,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MAZZY STAR,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MECO,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MELANIE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MELISSA MANCHESTER,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MEMPHIS BLEEK,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MEREDITH BROOKS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MERLE HAGGARD & WILLIE NELSON,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
METHOD MAN AND REDMAN,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
METRO BOOMIN,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MICHAEL FRANKS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MICHAEL MARTIN MURPHEY,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MICKEY GILLEY,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MIGHTY MIGHTY BOSSTONES,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MIKE + THE MECHANICS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MIKE JONES,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MONTROSE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MORRISSEY,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MOS DEF,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MR. BIG,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MR. MISTER,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MUSTARD,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
N.E.R.D.,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NAJEE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NAPPY ROOTS,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NATASHA BEDINGFIELD,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NAZARETH,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NEIL SEDAKA,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NEVILLE MARINER,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NEW RADICALS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NIALL HORAN,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NILSSON,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NINO ROTA,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NIPSEY HUSSLE,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NLE CHOPPA,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NOREAGA,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
O-TOWN,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
OF MONSTERS & MEN,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
OLIVIA NEWTON-JOHN & JOHN TRAVOLTA,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ONYX,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ORIGINAL LONDON CAST,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
OWL CITY,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
P. DIDDY,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
P.M. DAWN,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PASSENGER,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PASSION PIT,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PAUL & LINDA MC CARTNEY,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PAUL ANKA,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PAUL STANLEY,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PAUL WALL,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PAULINA RUBIO,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PETER CETERA,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PETER CRISS,1,1,1,0,0,Standard
